,0,name
0,nm5362972,Greta Varts
1,nm1249411,Xiaolu Xue
2,nm6391502,Paula Hawkins
3,nm0442287,William Kaufman
4,nm0918711,David Weisberg
5,nm4806035,Ryan Ferguson
6,nm2361892,Chris Romano
7,nm0677037,Bob Peterson
8,nm3143010,Ron Padgett
9,nm0238893,Du Lu Wang
10,nm0135905,Ion Luca Caragiale
11,nm0054697,Ike Barinholtz
12,nm5293055,Jeffrey Zaslow
13,nm3834171,Jason M. Koch
14,nm1475479,Jim Strouse
15,nm1383079,Todd Kessler
16,nm1429471,Jaume Collet-Serra
17,nm0090386,James Bobin
18,nm7917740,Shailja Kejriwal
19,nm2888074,Giannis Tsiros
20,nm0894207,Simon Verhoeven
21,nm0494170,John le Carré
22,nm4020969,Sean Nalaboff
23,nm8444799,Shimao Zhang
24,nm0082366,Anna Biller
25,nm4544229,John Phillips
26,nm2328967,Ron Suskind
27,nm0755158,Ira Sachs
28,nm8841153,Reindert Falkenburg
29,nm0281956,Brendan Fletcher
30,nm0601859,Scott Moore
31,nm0791556,Jon Shenk
32,nm4522036,Dan Soder
33,nm0341722,Megan Griffiths
34,nm0825738,David H. Steinberg
35,nm0542498,Mahesh Manjrekar
36,nm2234869,Steve Daniels
37,nm4679434,Mike Roberts
38,nm0744834,Eli Roth
39,nm0002077,Dexter Fletcher
40,nm1780037,Céline Sciamma
41,nm4815571,Nitesh V. Ranglani
42,nm0737517,Mike Rohl
43,nm6981356,Dan Mishkin
44,nm0779524,Luke Scott
45,nm4602011,Dong Luo
46,nm0510907,Joe Turner Lin
47,nm1189825,Robert Kanigher
48,nm0524190,Jon Lucas
49,nm5650996,Miu-Kei Ho
50,nm1797032,Scotty Mullen
51,nm2462594,Alice Vial
52,nm0904624,Miklós Vámos
53,nm0246903,Doris Dörrie
54,nm2356768,JT Mollner
55,nm1662742,Steven Altiere
56,nm1966532,Martin Owen
57,nm3215397,Daniel Scheinert
58,nm0114197,Mark Brown
59,nm0188462,David Croft
60,nm1438683,Alejandro Ocon
61,nm7625681,Marston Sawyers
62,nm5136322,Ben Shiffrin
63,nm6529126,Álvaro Núñez
64,nm0001639,Alex Proyas
65,nm1110912,Soi Cheang
66,nm0831557,Nicholas Stoller
67,nm1006256,Jennifer Barrow
68,nm0770005,James Schamus
69,nm4023702,Steven Caple Jr.
70,nm0646987,Ron Oliver
71,nm2422911,Nicholas Gyeney
72,nm0295216,Gabriel Friedman
73,nm0903456,Cyrus Voris
74,nm0684374,Jeff Pinkner
75,nm0122427,Rob Burnett
76,nm4332422,Erlingur Thoroddsen
77,nm0832369,Lynne Stopkewich
78,nm4243936,Harry G. Peter
79,nm2542577,Liz Jensen
80,nm7739636,Kate Collins
81,nm0003620,Kevin Smith
82,nm1662918,Tripp Rhame
83,nm1665932,Kiké Maíllo
84,nm3174584,Armando Bo
85,nm0441078,Géza Kaszás
86,nm2334642,Justin Krook
87,nm2034711,Will Slocombe
88,nm2227980,Anthony Scott Burns
89,nm3162615,Bryan Q. Miller
90,nm2180936,Claudio Herrera
91,nm1706767,Jonah Hill
92,nm8088562,Lloyd Staszkiewicz
93,nm0579079,Mike Mendez
94,nm8260883,Arun Matheshwaran
95,nm1133719,Steve Mallory
96,nm2581581,Courtney Hunt
97,nm1914394,Timothy Woodward Jr.
98,nm0897065,Grégoire Vigneron
99,nm1414749,Chris Wyatt
100,nm4227392,Mike Lawrence
101,nm0165995,Jericca Cleland
102,nm1284464,Warren P. Sonoda
103,nm0841772,Christine Swanson
104,nm0931426,Pat Williams
105,nm0652663,Patton Oswalt
106,nm0424315,Geoff Johns
107,nm1357906,Josh Bishop
108,nm2342762,Eric Falconer
109,nm0133081,Gabriel Campisi
110,nm1454108,Colin Cairnes
111,nm3950439,Ramajogayya Sastry
112,nm0366935,David Hartman
113,nm1210422,Wai Lun Ng
114,nm2559996,Mohamed Diab
115,nm7830962,Alana Smithee
116,nm0003941,David Winning
117,nm8171938,Antti Apunen
118,nm2180319,Tom Mandrake
119,nm2128335,J Blakeson
120,nm0743279,Brian L. Ross
121,nm0242903,Robin Dunne
122,nm1339400,Philippa Lowthorpe
123,nm0156213,Howard Chesley
124,nm0000601,Harold Ramis
125,nm8078611,Laura Obiols
126,nm0601781,Rich Moore
127,nm4710432,Patrick Ness
128,nm1002424,Michael Dougherty
129,nm5627015,Mohamed Hamidi
130,nm0918339,Herschel Weingrod
131,nm1131680,James Tucker
132,nm8459045,Dan Cogan
133,nm0491956,Paul Laverty
134,nm0004056,Andrew Stanton
135,nm0559105,Mate Matisic
136,nm1066482,Vinay Sapru
137,nm0312076,Tony Geiss
138,nm0055937,Kevin Barnett
139,nm1336595,Demetri Martin
140,nm1834891,Maneesh Sharma
141,nm8224460,David Nathan
142,nm5366685,Ross Adam
143,nm0243233,Mark Duplass
144,nm3321995,Andrés Duprat
145,nm1556962,Cameron Fay
146,nm2328145,Michael Lannan
147,nm0766153,Drake Sather
148,nm2955597,Iliza Shlesinger
149,nm0563243,Dan Mazer
150,nm4519461,James Spinney
151,nm2262138,Sarah Adina Smith
152,nm0332950,Ashutosh Gowariker
153,nm0686742,Pasquale Plastino
154,nm0899121,Thomas Vinterberg
155,nm0003116,Anthony C. Ferrante
156,nm0674071,Ted Perkins
157,nm2060444,Rod Blackhurst
158,nm3997700,Houda Benyamina
159,nm6890017,Mary Laws
160,nm0637493,Cyrus Nowrasteh
161,nm0177637,Greg Coolidge
162,nm0099552,Tassos Boulmetis
163,nm0381757,Olivia Hetreed
164,nm2704602,Oliver Irving
165,nm0639376,Billy O'Brien
166,nm2155679,Mani Haghighi
