,NameId,Name
0,nm0000041,Akira Kurosawa
1,nm0000095,Woody Allen
2,nm0000101,Dan Aykroyd
3,nm0000142,Clint Eastwood
4,nm0000144,Cary Elwes
5,nm0000149,Jodie Foster
6,nm0000165,Ron Howard
7,nm0000229,Steven Spielberg
8,nm0000231,Oliver Stone
9,nm0000241,Jean-Claude Van Damme
10,nm0000264,Pedro Almodóvar
11,nm0000278,Pernilla August
12,nm0000318,Tim Burton
13,nm0000386,Roland Emmerich
14,nm0000464,Jim Jarmusch
15,nm0000490,Spike Lee
16,nm0000500,Richard Linklater
17,nm0000580,Luke Perry
18,nm0000601,Harold Ramis
19,nm0000636,William Shakespeare
20,nm0000668,Emma Thompson
21,nm0000682,Paul Verhoeven
22,nm0000807,Jane Austen
23,nm0000881,Michael Bay
24,nm0000916,Peter Berg
25,nm0000948,Shane Black
26,nm0001094,Roald Dahl
27,nm0001241,Stephen Frears
28,nm0001281,Bobcat Goldthwait
29,nm0001302,Christopher Guest
30,nm0001317,Renny Harlin
31,nm0001348,Werner Herzog
32,nm0001515,Joseph Mazzello
33,nm0001639,Alex Proyas
34,nm0001741,Bryan Singer
35,nm0001744,Tom Sizemore
36,nm0001754,Todd Solondz
37,nm0001756,Barry Sonnenfeld
38,nm0001774,Ben Stiller
39,nm0001775,Whit Stillman
40,nm0002041,Dean Devlin
41,nm0002042,Charles Dickens
42,nm0002077,Dexter Fletcher
43,nm0002180,Francesca Archibugi
44,nm0002184,Vic Armstrong
45,nm0002413,David Jackson
46,nm0002433,Scott Smith
47,nm0002582,Christopher Rouse
48,nm0002645,Paolo Genovese
49,nm0002657,Gary Ross
50,nm0002700,Malcolm D. Lee
51,nm0002973,Lev L. Spiro
52,nm0003116,Anthony C. Ferrante
53,nm0003529,Dan Harris
54,nm0003620,Kevin Smith
55,nm0003941,David Winning
56,nm0003960,Zrinko Ogresta
57,nm0004056,Andrew Stanton
58,nm0004152,Roel Reiné
59,nm0004170,Bob Kane
60,nm0004214,Bey Logan
61,nm0004412,Ed Solomon
62,nm0005033,Sammo Kam-Bo Hung
63,nm0005061,Quincy Jones III
64,nm0005190,Garry Marshall
65,nm0005366,Jay Roach
66,nm0005541,Marlon Wayans
67,nm0006516,Chris Terrio
68,nm0006534,Phil Hay
69,nm0006737,Hark Bohm
70,nm0006856,José Luis López-Linares
71,nm0007044,Nicole Lucas Haimes
72,nm0007082,John Stockwell
73,nm0008743,Jonathan Aibel
74,nm0011240,Neal Adams
75,nm0011639,Lisa Addario
76,nm0011752,Maren Ade
77,nm0014960,Alexandre Aja
78,nm0015359,Fatih Akin
79,nm0020820,Matt Allen
80,nm0023315,Rick Alvarez
81,nm0024925,Hossein Amini
82,nm0027948,Roberto Andò
83,nm0029242,André Téchiné
84,nm0030417,Hideaki Anno
85,nm0032227,Josh Appelbaum
86,nm0036349,Andrea Arnold
87,nm0036776,Sheldon Arnst
88,nm0043742,David Ayer
89,nm0046524,Anthony Bagarozzi
90,nm0047259,Fenton Bailey
91,nm0050722,Matthew Ballen
92,nm0051972,Lance Bangs
93,nm0052442,Steve Bannon
94,nm0053190,Randy Barbato
95,nm0054659,Alan Barillaro
96,nm0054697,Ike Barinholtz
97,nm0055937,Kevin Barnett
98,nm0056187,Sacha Baron Cohen
99,nm0057842,Olivier Baroux
100,nm0059088,Amanda Barton
101,nm0060103,Ronald Bass
102,nm0063165,Peter Baynham
103,nm0065847,Michael Frost Beckner
104,nm0067457,Timur Bekmambetov
105,nm0068587,William Brent Bell
106,nm0073392,Karen Berger
107,nm0073850,Michael Berg
108,nm0074184,Glenn Berger
109,nm0075666,Joe Berlinger
110,nm0075696,Andrea Berloff
111,nm0075727,Barry Berman
112,nm0078943,Janeen Damian
113,nm0082366,Anna Biller
114,nm0082450,Paul Feig
115,nm0082526,Peter Billingsley
116,nm0083547,David Birke
117,nm0086912,Alain-Michel Blanc
118,nm0090386,James Bobin
119,nm0093051,Uwe Boll
120,nm0094726,Pascal Bonitzer
121,nm0096375,Sebastián Borensztein
122,nm0096637,Paul Borghese
123,nm0098400,Rick Bota
124,nm0098953,Rachid Bouchareb
125,nm0099521,Bouli Lanners
126,nm0099552,Tassos Boulmetis
127,nm0101302,Chris Bowman
128,nm0104312,Rustam Branaman
129,nm0109359,Steven Brill
130,nm0110778,Kevin Brodbin
131,nm0112357,John Broome
132,nm0114197,Mark Brown
133,nm0122334,Alan Burnett
134,nm0122427,Rob Burnett
135,nm0123379,Nanette Burstein
136,nm0124089,Andrew Bush
137,nm0126208,John Byrne
138,nm0130714,Daniel Calparsoro
139,nm0131064,Art Camacho
140,nm0133081,Gabriel Campisi
141,nm0134503,Saara Cantell
142,nm0135905,Ion Luca Caragiale
143,nm0137573,Lewis John Carlino
144,nm0138759,Marcos Carnevale
145,nm0138809,John Carney
146,nm0139591,Allan Carr
147,nm0139743,Jimmy Carr
148,nm0139867,Steve Carr
149,nm0140902,Lewis Carroll
150,nm0141853,Nick Carter
151,nm0142286,D.J. Caruso
152,nm0142636,Robert Cary
153,nm0143558,Warren Casey
154,nm0146991,Fred Cavayé
155,nm0150916,Hing-Ka Chan
156,nm0155528,Yarrow Cheney
157,nm0156213,Howard Chesley
158,nm0157787,Stephen Chin
159,nm0159507,Stephen Chow
160,nm0160840,Jon M. Chu
161,nm0160935,Daniel Chuba
162,nm0161834,Derek Cianfrance
163,nm0162013,Jerry Ciccoritti
164,nm0164851,Keith R. Clarke
165,nm0165995,Jericca Cleland
166,nm0169231,Barney Cohen
167,nm0169474,Jason Cohen
168,nm0169806,Taika Waititi
169,nm0170160,Gene Colan
170,nm0171381,Alex Coletti
171,nm0171651,Bill Collage
172,nm0171722,John Collee
173,nm0175305,Kevin Connolly
174,nm0175383,Alan Connor
175,nm0176689,Gerry Conway
176,nm0177018,Douglas Cook
177,nm0177637,Greg Coolidge
178,nm0177836,Adam Cooper
179,nm0180506,Sarah Cornwell
180,nm0181741,Don Coscarelli
181,nm0182499,Paolo Costella
182,nm0184302,Suzette Couture
183,nm0185976,Peter Craig
184,nm0188462,David Croft
185,nm0189144,David Cross
186,nm0190085,Barry Crump
187,nm0190988,Nicolas Cuche
188,nm0192463,Terry Cunningham
189,nm0193484,Ricardo Curtis
190,nm0193554,Vondie Curtis-Hall
191,nm0194274,Catherine Cyran
192,nm0198755,Michael Damian
193,nm0198810,Israel Sasha Demidov
194,nm0198938,Lamar Damon
